,Article Title,Abstract,Topics
26,Challenges in monitoring mobile populations: Applying bayesian multi-site mark-recapture abundance estimation to the monitoring of a highly mobile coastal population of bottlenose dolphins,"Monitoring the abundance of mobile and wide-ranging cetacean populations for conservation management is challenging, especially when the management is focused on static protected areas. Where abundance estimates are derived from mark-recapture data, such as photo-identification of naturally marked individuals, unpredictable movements of animals in and out of the survey area can reduce 'capture' probabilities and affect the precision and accuracy of resulting estimates. A Bayesian hierarchical log-linear model was applied to photo-identification data collected in summer 2014 to derive a multi-site abundance estimate for a population of bottlenose dolphins,Tursiops truncatus, ranging widely throughout the coastal waters of western Ireland. In addition, the effects of varying levels of sampling effort on the minimum detectable decrease in population size were examined. The abundance (median) of dolphins was estimated as 189 (coefficient of variation (standard deviation/mean), 0.11; 95% highest-posterior density interval, 162-232). Over 50% of the well-marked dolphins encountered throughout the study were sighted in more than one distinct coastal area, thus displaying high mobility. In addition, it was found that it would require biennial surveys to detect a 25% decline in abundance within the six-year reporting period of the EU's Habitats Directive. Given that the Special Area of Conservation designated for these dolphins consists of two separate areas covering a substantial portion of the west coast of Ireland, the multisite approach is appropriate for monitoring this population. It produces a more precise estimate and is well suited for sparse recapture data collected opportunistically at multiple sites, when the lack of resources prevents large-scale surveys or when concentrating surveys on smaller localized areas fails to capture the broad range and unpredictable occurrence of the animals. The Bayesian multi-site approach could be applied to the management of other wide-ranging marine or terrestrial taxa.",Diversity and diversification
27,"Indicators of Diptera diversity in wet grassland habitats are influenced by environmental variability, scale of observation, and habitat type","In low intensity agri-ecosystems such as wet grassland habitats, the inclusion of invertebrates in conservation assessments and monitoring is usually limited to charismatic groups such as bees or butterflies. However, wet grasslands support a wide range of inveterate groups, some of which may exhibit limited movement not generally represented by more mobile groups such as those typically examined. The use of surrogate species which exemplify broader invertebrate diversity has been suggested as a possible means of including these overlooked invertebrates (such as Diptera) in conservation planning within these habitats. Based on collections made by Malaise trap, we utilized two families of Diptera (Sciomyzidae and Syrphidae) as indicators of a wider range of dipteran diversity (nine Diptera families identified to parataxonomic unit level [PUs]) in wet grassland habitats. We examined the role of environmental variability, spatial scale, and habitat type on patterns of cross-taxon congruence for all three assemblages. Both environmental correlation and community congruence were significantly stronger among assemblages when examined at low spatial scales, highlighting the need to examine dipteran groups at scales untypical of current agri-environmental assessments; namely field and farm level. Furthermore, when wet grasslands were differentiated into two habitat categories (sedge and rush dominated grasslands), the significance of the community congruence increased markedly. This correlation was particularly strong between Sciomyzidae and PUs which demonstrated similar differentiation based on habitat type, implying that assemblages which exhibit comparable ecological partitioning are more likely to be useful surrogates of one another. Correlations between richness, abundance and Shannon's diversity were highly variable among groups, suggesting compositional analysis as the most appropriate examination of dipteran diversity for surrogacy studies. The results indicate that cross-assemblage congruence of Diptera is influenced by similarity of response to environmental variability, scale of observation, and examination of assemblages differentiated into appropriate habitat categories. The results illustrate the need to investigate invertebrate biodiversity surrogates at scales appropriate to the indicator groups and examine congruence among assemblages within specific habitat categories. Such an approach has the potential to maximise gamma diversity in areas where wet grasslands are under threat of intensification or abandonment.",Diversity and diversity
28,"Survival Rates and Capture Heterogeneity of Bottlenose Dolphins (Tursiops truncatus) in the Shannon Estuary, Ireland","Adult survival is arguably the most important demographic parameter for long-lived species as it has a large impact on population growth, and it can be estimated for cetacean populations using natural markings and mark-recapture (MR) modelling. Here we describe a 26-year study of a genetically discrete, resident population of bottlenose dolphins in the Shannon Estuary, Ireland, conducted by an NGO using multiple platforms. We estimated survival rates (SRs) using Cormack-Jolly-Seber models and explored the effects of variable survey effort, multiple researchers, and changes in camera equipment as well as capture heterogeneity induced by changes in marks and site fidelity variation, all common issues affecting longitudinal dolphin studies. The mean adult SR was 0.94 (?0.001 SD) and thus comparable to the estimates reported for other bottlenose dolphin populations. Capture heterogeneity through variation in mark severity was confirmed, with higher capture probabilities for well-marked individuals than for poorly marked individuals and a ?transience? effect being detected for less well-marked individuals with 43% only recorded once. Likewise, both SR and capture probabilities were comparatively low for individuals with low site fidelity to the Shannon Estuary, and SR of these individuals additionally decreased even further toward the end of the study, reflecting a terminal bias. This bias was attributed to non-random temporal migration, and, together with high encounter rates in Brandon Bay, supported the hypothesis of range expansion. Our results highlight the importance of consistent and geographically homogenous survey effort and support the differentiation of individuals according to their distinctiveness to avoid biased survival estimates.",Diverse sampling methods.
29,Sponge morphological diversity: a qualitative predictor of species diversity?,"1. To the non-specialist, problems are often associated with the quantification of sponge species diversity, as colour, shape and size can be highly variable within a single species. These variables can lead to an under-estimation of the contribution of sponges to the biodiversity of the benthos especially during biological surveys. 2. Sponge species diversity (Shannon H ' values), richness (mean number of species) and morphological diversity (Shannon H ' values) were sampled at six sites (6 m depth intervals) on vertical (90 degrees) and inclined surfaces (45 degrees) experiencing different flow regimes at Lough Hyne Marine Nature Reserve (Ireland). Morphological diversity was sampled independently of species diversity. The time taken for the collection of both species and morphological diversity was recorded. 3. Morphological diversity was positively correlated with both sponge species diversity (r(2) = 0.87, p < 0.05) and sponge species richness (r(2) = 0.70, p < 0.05). Linear regression was found to be significant for both the relationships (p < 0.05 for each F-value). A sigmoidal relationship (r(2) = 0.97, P < 0 05) was found between morphological and species richness which proved to be significant (F-value 40.67, p < 0.05). Separate Bray-Curtis dendrograms and correspondence analysis of morphological and species community compositions at the six sites showed very similar clustering and four major clusters were identified. 4. The results of the present study indicate that sampling of sponge morphological diversity, rather than sponge species diversity and richness may be used as a qualitative estimate of sponge species diversity. Sampling of morphological diversity is much less time consuming, both in the field and laboratory, than collecting species diversity data and no specialist knowledge is required. Consideration is given to the use of such relationships in biological surveys and bio-monitoring. Copyright <(c)> 2001 John Wiley & Sons, Ltd.",Conservation and economic diversification
30,A baseline study of metal ion content of Irish canals by ICP-MS,"The first systematic study of the metal ion content of the four main Irish Canal Systems is presented. Samples were collected seasonally over a twelve month period and analysed for 16 trace elements and metals by ICP-MS. The results show that three of the four canals (Royal, Grand, Shannon-Erne) have distinctly different elemental profiles, while the fourth (Barrow) is similar to the Grand Canal, which is to be expected, as they are broadly part of the same system, with a common main feeder. Spatial plots reveal local variations in certain elements, which are related to the nature of feeders in those localities. Simple tests based solely on the 16 elements measured showed that it may be possible to broadly define 'normal' compositions for each canal system, which can be then used to identify 'abnormal' data, and hence provide indicators for environmental change.",Environmental change and diversity.
31,Assessing candidate metrics for the ecological quality of TFTW (tidal freshwaters in transitional waters) in Ireland using benthic invertebrates,"There is an obligation under the Water Framework Directive (WFD, 2000/60/EC) not just to establish the ecological status of water bodies, but to ensure that they achieve 'good' quality. However, in some cases, the criteria have been difficult to establish, and one such case is that for Tidal Freshwaters in Transitional Waters (TFTW). In this study, based on 8 systems and 37 TFTW sites around Ireland, there were significant differences in invertebrate benthos, which was largely dominated by freshwater species. The evaluation of ecological status varied significantly across sampling methods which in turn were driven by the character of the substratum. The standard kick-sample method, in riffle conditions, yielded 69 taxa, cores in intertidal soft sediments 21 taxa, and grabs in the subtidal 15 taxa. The salinity (Practical Salinity Scale) at the study sites ranged from 0 to 29.3, although all but 3 were <5, but there was a greater consistency of community composition within a single TFTW across salinities than the converse. Diversity indices followed a similar although not identical pattern, with the Shannon-Weiner index (H') maxima being 2.24, 1.32 and 1.48 for kick samples, cores and grabs respectively. Average Score Per Taxon (ASPT) scores were much closer, ranging from 4.5 to 6.1, 3.5-6.3 and 3.6-5.2 respectively, and in general, indices which included some measure of species' tolerance performed better than those based on diversity alone, but at the cost, in core and grab samples, of a very low information base (very few species contributing to the calculation). Of those metrics assessed, only ASPT could be put forward as a WFD candidate for quality assessment. (C) 2017 Elsevier Ltd. All rights reserved.",Diversity and diversity
32,"CURRENT STATUS OF POLLAN COREGONUS AUTUMNALIS POLLAN IN LOUGH REE, IRELAND","The Irish pollan Coregonus autumnalis pollan is a unique and threatened freshwater fish species endemic to the island of Ireland, with its current known distribution limited to five lakes; Lough Neagh, Lower Lough Erne, Lough Allen, Lough Ree and Lough Derg. The Lough Neagh pollan are still relatively abundant, contributing approximately 25% of the total fish abundance. However, populations in Lower Lough Erne and the three Shannon lakes contribute < 1% of total fish abundance. As a result, pollan are listed as 'Endangered' in the Irish Red Data Book and the IUCN Red List of Threatened Species. Empirical data on pollan population size in Irish lakes is lacking, with current estimates based mainly on expert opinion. The current work combines new hydroacoustic data with an extensive gill netting survey, suggesting an abundance estimate for pollan greater than 10cm in length in Lough Ree to be in excess of 6000 individuals. The age classes 1 + and 2 + were captured and the hydroacoustic data displayed a strong cohort of 0 + fish, indicating reproductive success in the previous three years. This new abundance data contributes significantly to the knowledge of the Lough Ree pollan stock. Future and ongoing monitoring of population size, along with the identification of spawning locations, will help to inform management decisions aimed at protecting this unique and endangered fish species.",Conservation and management.
33,The early effects of afforestation on biodiversity of grasslands in Ireland,"The target rate of afforestation in Ireland over the next 30 years is 20,000 ha per year, which would result in an increase of the forest cover from the current 10% to 17%. In order to promote sustainable forest management practices, it is essential to know the composition and conservation value of habitats where afforestation is planned and the effects of subsequent planting upon biodiversity. The objectives of this study were to investigate changes in vegetation composition and diversity of grasslands 5 years after afforestation with Sitka spruce (Picea sitchensis) and determine the primary ecological and management factors responsible for these changes. Species cover, environmental and management data were collected from 16 afforested and unplanted improved and wet grassland site pairs in Ireland. Our results indicate that 5 years after tree planting, there were significant changes in richness, composition, and abundance of species. Competitive and vigorous grasses were more abundant in planted than in unplanted sites, as were generalist species found in both open and wooded habitats, while small-stature shade-sensitive species were less abundant. Vascular plant species richness and Shannon's diversity index were higher in unplanted wet grassland, than in the planted sites. Bryophyte species richness was higher in planted improved grassland than in unplanted sites. The differences were primarily the result of the exclusion of grazing, ground preparation, changes in nutrient management and drainage for afforestation. Drainage ditches provided a temporary habitat for less competitive species, but the overall effect of drainage was to reduce the diversity of species dependent on wet conditions. Variance partitioning showed differences in the relative influences of environmental and management variables on biodiversity in the two habitats, probably due to the greater pre-afforestation grazing pressure and fertilisation levels in improved grasslands. The differences in biodiversity between planted and unplanted grasslands indicate that afforestation represents a threat to semi-natural habitats where distinctive and highly localised plant communities could potentially occur.",Diversity and diversity
34,NORTH-SOUTH COORDINATION IN IRELAND'S INTERNATIONAL RIVER BASIN DISTRICTS,"The EU Water Framework Directive (WFD) aims to promote common approaches, standards and measures for water management on a systematic and comparable basis throughout the EU. All waters Must be managed on the basis of natural geographical areas called river basin districts (RBDs). Within the EU many RBDs are shared by member states. These cross-border districts are called international RBDs (IRBDs), in accordance with Article 33 of the WFD. Member states are required to coordinate their efforts in these international districts, with the ann of producing a single river basin management plan covering each entire district (Article 13.2). There Ire three IRBDs on the island of Ireland, all straddling the border between the Republic of Ireland and Northern Ireland-the North Western, Neagh Bann and Shannon districts. The competent authorities identified in the Republic of Ireland and Northern Ireland with responsibility for implementation of the directive have taken significant steps to harmonise the approaches adopted in the two jurisdictions. So far, the competent authorities have maintained a high level of coordination and have Successfully met all of the directive's milestones.",harmonisation and coherence
35,"TOWARDS A BOTTLENOSE DOLPHIN WHISTLE ETHOGRAM FROM THE SHANNON ESTUARY, IRELAND","An ethogram of whistle types from the Shannon Estuary is presented. A total of 1715 whistles recorded over a three-year period between 2003 and 2005 were analysed. They were categorised into six fundamental shapes and 25 sub-categories. The most common whistle type encountered in the analysis was a simple rising tone. Whistles ranged in duration from 0.061 to 1.61 seconds. Whistle contour mean frequencies ranged between 13.21 kHz and 7.71 kHz, but there was a great deal of variability in all characteristics of the whistles within each category.",Freedom and self-interest
36,Groundwater and wetland management in the Shannon river basin (Ireland),"This paper examined groundwater and wetlands in the Shannon river basin in the context of implementation of the European water framework directive (WFD). The particular wetland example of turloughs (groundwater fed temporary lakes in karst areas) was examined in the context of defining river basin district boundaries and in the delineation of their catchment areas for risk assessment as required by Articles 3 and 5, respectively of WFD. Groundwater dependent terrestrial ecosystems such as turloughs are particularly challenging in terms of delineating their catchment areas for the purposes of risk assessment and implementation of measures. Turloughs are a habitats directive Annex I priority habitat, which occur mainly in Ireland and consequently, many turloughs in Ireland have been designated as special areas of conservation. Better understanding of such complex systems with high degrees of groundwater-surface water interaction will be required to ensure their protection in river basin management plans. (c) 2005 Elsevier Ltd. All rights reserved.",Groundwater and water
37,M-AMBI derived from taxonomic levels higher than species allows Ecological Status assessments of benthic habitats in new geographical areas,"Under the Water Framework Directive (WFD) benthic Ecological Quality Ratios (EQRs) are important tools for assessing Ecological Status (ES) of coastal and transitional waters. Calculation of the Multivariate-AZTI Marine Biotic Index (M-AMBI) EQR is based on the proportions of sensitive and stress tolerant benthic invertebrate species, number of species and Shannon-Wiener diversity. The sensitivity of many tropical/sub-tropical taxa has not yet been determined, presenting a barrier to the direct transfer of WFD EQRs, and the ideas underpinning them, to the management of coastal waters beyond Europe. To overcome this we examine using higher taxonomic level data with M-AMBI. Before applying such approaches to assessing ES in new geographical regions it is essential to determine the effects of using higher taxonomic level data on M-AMBI in areas where the tool was developed. To this end, we use macrofaunal data from three well studied sites in north-western Europe to examine the effects of using taxonomic level data higher than species on M-AMBI. Using the European datasets M-AMBI ES classification was shown to be robust to changes in taxonomic level data. We test the suitability of family-level M-AMBI for assessing ES in subtropical Hong Kong waters. Family level M-AMBI was useful in detecting stress in Hong Kong, where it successfully detected temporal and spatial shifts in ES in response to seasonal hypoxia and salinity variability, and anthropogenic organic enrichment. (c) 2013 Elsevier Ltd. All rights reserved.",Diversity and adaptation
38,"TREE DIVERSITY IN URBAN PARKS OF DUBLIN, IRELAND","Urban park, a major component of urban green infrastructure, is an indicator of urban ecological environment system. In this study, 34 urban parks divided into two categories (historical parks (HP) and modern parks (MP)) in Dublin were investigated in 2015; meanwhile, tree composition and diversity, importance value of species and families and size class distribution were compared between two kinds of parks. Result showed that 8603 trees belonging to 139 species, 67 genera and 37 families were enumerated, with 4174 in HP and 4429 in MP. Tree composition in both kinds of parks skewed toward alien tree species without significant difference. According to the species important value, top three tree species Ilex aquifolium, Acer pseudoplatanus and Platanus hispanica found in HP and Acer pseudoplatanus, Tilia sp. and Acer platanoides found in MP were all alien tree species in Ireland. The result of family importance value indicated that the most importance families were Aceraceae, Rosaceae and Tiliaceae in both kinds of parks. Species richness of HP was markedly richer than that of MP; while, the diversity index of Shannon-Wiener was not statistically significant between them. Based upon the relative abundance, several important tree species were more than 10 percent, which was not in accordance with the rule of thumb- 10/20/30. According to the size class of DBH distribution, two categories parks showed different preferences to trees in different historical periods; size class of tree height and crown displayed that communities were crowded in the urban parks of Dublin. It is critical for the management of urban parks of Dublin to increase tree diversity and improve structure of tree species.",The main themes in this article are:
39,"Are Non-reef Habitats as Important to Benthic Diversity and Composition as Coral Reef and Rubble Habitats in Submarine Canyons? Analysis of Controls on Benthic Megafauna Distribution in the Porcupine Bank Canyon, NE Atlantic","Submarine canyons support high biomass communities as they act as conduits where sediments, nutrients, and organic matter from continental shelves, or those that are carried along by slope currents, are transported into the abyssal zone. The Porcupine Bank Canyon (PBC), located on the Irish continental margin and isolated from terrigenous inputs, reveals a complex terrain and substrate variation that affect the distribution of benthic fauna. Here, ROV-based benthic video, conductivity-temperature-depth (CTD), current velocity profiles, suspended particulate organic matter (POM) and bathymetric data were assessed to determine the controls on the distribution of benthic megafauna throughout the canyon. Multivariate analysis of the benthic community reveals significant differences in community structure among habitats and site locations throughout the canyon. Furthermore, these results show that non-reef habitats exhibit more variation in the composition of benthic taxa than coral reef and rubble habitats, with the following species contributing most to the structural differentiation between habitats: Leiopathes glaberrima (12.46%), Hexadella dedritifera (10.37%), Cidaris cidaris (9.31%), Aphrocallistec beatrix (9.33%), Araeosoma fenestratum (9.11%), Stichopathes cf. abyssicola (7.39%), Anthomastus grandiflorus (4.66%), and Benthogone rosea (3.84%). In addition, greater diversity, taxa evenness and high abundance of motile fauna were observed in non-reef habitat and the canyon flank. Seabed terrain features (depth, slope) are the most important environmental drivers that affect benthic taxa distribution while site locations and habitat type are the categorical variables that influence taxa distribution in the PBC. The highest mean current speed was observed on the canyon flank where the highest Shannon's diversity was recorded while mean current speed ranged from 18.2-31.3 cm s(-1). As the PBC is cut off from direct terrigenous input, this research contributes to understanding cold-water coral habitat responses to natural Northeast Atlantic environmental conditions. The findings of the current study will inform key stakeholders on how to responsibly interact with the canyon benthic habitats and can help inform policy makers on the effective conservation and management of the cold-water coral habitat in the PBC and other canyons.","Diversity, taxa and habitat"
40,"Seasonal variation of heavy metals in Mytilus edulis, Fucus vesiculosus and sediment from the Shannon Estuary","Samples of Mytilus edulis, together with samples of sediment and Fucus vesiculosus, were taken monthly from each of five shores on the south coast of the Shannon Estuary from March 1992 to December 1993 inclusive. Samples were digested individually and the levels of iron, zinc, manganese, cobalt, chromium and copper were determined using atomic absorption spectrophotometry. Levels of metals were lower than previously published values from Irish east coast estuaries, including Dublin, except for a few high levels in M. edulis, which did not persist in the tissues and were probably lost through excretion, spawning or detoxification. Of the metals analysed iron showed the highest levels. This was attributed in part to the background levels of iron in sediment. On some occasions high metal levels ill sediment did not lead to higher levels either in F. vesiculosus or in M. edulis, suggesting that metals in M. edulis may come from other sources, including anthropogenic inputs, in the estuary. On an international scale the levels in M. edulis of the six metals studied were relatively low in the Shannon Estuary. The longer-term monthly sampling regime followed in this Study is important since it shows that occasional high levels, which may be detected by once-off studies, are not always maintained.",Comparison of different approaches to collect and compare different approaches.
41,THE DISTRIBUTION AND EXPANSION OF ORNAMENTAL PLANTS ON THE SHANNON NAVIGATION,"Seven alien aquatic plants occur on the Shannon Navigation. Six ornamental plants have been recorded in Lough Derg. Two, Elodea canadensis and Lemna minuta, are widely distributed in the lough, locally abundant within the Navigation and the only alien plants found in Lough Ree. The species with the greatest impact, Elodea nuttallii, was first recognised in 2004 in harbours and cuts about the southern region of Lough Derg. It spread northwards by drifting fragments and almost certainly by leisure craft. Likewise, the fertile water violet, Hottonia palustris, originally found on the eastern side of the lake, has become abundant in sheltered shallows, reedbeds, canals and drains on the western side of the lake and continues to spread northwards and southwards. Confined populations of Stratiotes abides occur only on the western side of Lough Derg and may have been there for several years. An isolated population of a pink cultivar of Nymphaea alba, present for at least four decades, occurs in Lough Derg beside a lakeside domaine. Since the introduction of the zebra mussel, Dreissena polymorpha, in c. 1993/4 there have been increases in water transparency that have presumably enabled some macrophytes to extend their ranges into deeper water. Given the likelihood of further range expansions or new introductions, regulation of the sale and distribution of alien aquatic species is needed to prevent further exotic plants from entering Irish waterways",Diversity and diversification.
42,"Eels (Anguilla anguilla (L.)) of the lower river Shannon, with particular reference to seasonality in their activity and feeding ecology","The general biology and seasonal ecology of eels from a riffle section of the lower reaches of Ireland's largest river system, the River Shannon, were investigated. Eels at this location occurred in high densities, had a slow growth rate and were predominantly male at maturation. Although they fed to some degree all year round, foraging activity of the eels was highest in the months of May to September, inclusive. Their diet, which was dominated by larval Ephemeroptera and Trichoptera, reflected the typical composition of the macroinvertebrate species assemblage of the riffle habitat sampled. Little evidence of piscivory or of the potential impact of the high density eel population on the salmonid stocks of this river section was recorded.","Eels, habitat, and biodiversity"
43,Assessment of biomarkers in Mytilus edulis to determine good environmental status for implementation of MSFD in Ireland,"Candidate OSPAR/ICES recommended biomarkers at the level of the individual in Mytilus edulis for determination of good environmental status for MSFD were evaluated against contaminant levels at sites around Ireland. The sites chosen ranged from moderate to low pollution levels, but the actual ranking of the sites varied according to the contaminant levels present. At the most contaminated site, Cork, 4 out of 16 contaminants exceeded the EAC, while at Shannon, no EACs were exceeded. The SOS assay suggested that Cork was the healthiest site with a LT50 of 17.6 days, while SOS for Shannon was 15.6 days. Likewise, condition factors varied among sites and did not always correspond to contaminant-based status. There may be uncertainty in assigning status around the not good:good boundary. This raises potential difficulties not only in the biomarker/contaminant load relationship but also in the reliability of the biomarkers themselves and hence barriers meeting compliance levels. (C) 2013 Elsevier Ltd. All rights reserved.",Environmental degradation and stochastic selection.
44,Distribution and abundance of bottle-nosed dolphins Tursiops truncatus (Montagu) in the Shannon Estuary,"The feasibility of developing commercial whale-watching in the Shannon Estuary was investigated by determining the distribution and abundance of bottle-nosed dolphins in the estuary. A variety of field techniques were employed, including photo-identification, fixed boat transects, scan sampling, minimum number estimates and the collection of incidental sightings over an eighteen-month period. Land-based observations showed that the presence of dolphins was influenced by the state of the tide, with a peak in sightings recorded three hours after high water. Dolphins were observed on 25 (61%) of 41 boat transects surveyed, of which sixteen turned into encounters, with dolphins sometimes present for many hours. A minimum number estimate conducted on 16 October 1994 showed that at least 56-68 animals were present, and photo-identification has recognised 25 animals individually. Dolphins were often recorded in discrete areas, especially off Kilcredaun Head, Beal Bar and off Leck Point. Sighting records from the Tarbert to Killimer ferry showed that dolphins were regularly seen especially in the spring and summer (May to August), being recorded on up to 88% of days in the month. Photo-identification showed that the same dolphins were present in the estuary throughout the study period, suggesting that they were resident. This is the first known resident population of bottle-nosed dolphins in Ireland. The implications of this work for the development of commercial dolphin-watching in the estuary are discussed.",Conservation and management
45,"Application of a weight of evidence approach utilising biological effects, histopathology and contaminant levels to assess the health and pollution status of Irish blue mussels (Mytilus edulis)","A weight of evidence (WOE) approach, integrating biological effects, mussel histopathology and tissue contaminant levels is proposed to evaluate mussel health and pollution status. Contaminant levels, histopathology and several biological effects (BEs) including Lysosomal membrane stability (LMS), acetylcholinesterase (AChe), metallothionein proteins (MT) and alkali labile phosphate (ALP), in Mytilus edulis are presented, improving the current knowledge base for these data. Potential links between histopathology, BEs and contaminants and ranking of sites are investigated with an integrated response (IR) indexing technique. Histopathological condition indices (Ih) in mussel digestive gland are used to calculate health indices. A spatial and temporal assessment is conducted at Irish coastal locations. Linear mixed effects modelling revealed effects of confounding factors such as reproductive condition on NRRT (gonad stage (p < 0.001)). Higher prevalence of inflammation, brown cells and epithelial thinning of the digestive gland was evident at Dublin and Wexford and this linked well with the Ih. Levels of contaminants were generally found to be low with few exceptions as were BE responses. Using the IR approach, Dublin was ranked as being most impacted while Shannon ranked the least impacted, this being consistent with the BE ranking. (C) 2016 Elsevier Ltd. All rights reserved.",Environmental and social well-being
46,BEHAVIOUR OF SEA LAMPREY (PETROMYZON MARINUS L.) AT MAN-MADE OBSTACLES DURING UPRIVER SPAWNING MIGRATION: USE OF TELEMETRY TO ASSESS EFFICACY OF WEIR MODIFICATIONS FOR IMPROVED PASSAGE,"Artificial weirs on the Mulkear River present an obstacle to sea lamprey (Petromyzon marinus L.) during upstream spawning migration. Telemetry to monitor passage success was undertaken in 2010 and repeated in 2011 following modifications to two of the weirs in the lower section of the river. Upstream migrants, captured downstream of the first weir, were radio tagged during 2010 (n = 51) and 2011 (n = 36). During both years tagged fish were experimentally re-released in two batches downstream (n = 20 both years) and upstream (n = 31 for 2010; n = 16 for 2011) of this structure, respectively. Subsequent telemetry conducted over nine weeks in 2010 suggested the majority of sea lamprey movements were downstream, with only one tagged fish ascending any of the weirs. Some fish spawned downstream of the first weir while other fish descended further to known spawning sites on the River Shannon both up and downstream of the Mulkear confluence. During 2011, localised movements were recorded up to but not across the first weir for the downstream-released fish. Of the 16 fish released upstream, three (19%) ascended the modified third weir and progressed further into the catchment compared with 0% (0/31) the previous year.",Relative to previous generations
47,"TEMPORAL AND SPATIAL VARIATION IN GROUP SIZE OF BOTTLENOSE DOLPHINS (TURSIOPS TRUNCATUS) IN THE SHANNON ESTUARY, IRELAND","Bottlenose dolphin group size is known to be determined by food availability, social interactions and predator defence. This paper analyses data gathered over seven years from dolphin tour boats operating in the Shannon Estuary and examines whether there were any temporal or spatial trends in group size of the resident group of bottlenose dolphins in the region. Findings indicate that dolphin group size varied significantly between years (ANOVA, F = 4.55, P = 0.0001), and increased during the months of July, September and October (ANOVA, F = 8.921, P < 0.0001). Findings also reveal that group size of dolphins encountered in the middle part of the estuary was greater than the outer or inner estuary (ANOVA, F = 4.176, P < 0.001). The seasonal change in group size is thought to be primarily caused by dolphins switching to different prey species.","Food availability, social interactions and predator defence"
48,In situ phytoremediation of PAH-contaminated soil by intercropping alfalfa (Medicago sativa L.) with tall fescue (Festuca arundinacea Schreb.) and associated soil microbial activity,"A 7-month field experiment was conducted to investigate the polycyclic aromatic hydrocarbon (PAH) remediation potential of two plant species and changes in counts of soil PAH-degrading bacteria and microbial activity. Alfalfa and tall fescue were grown in monoculture and intercropped for 7 months in contaminated field soil. Soil and plant samples were analyzed for PAHs. Plant biomass, densities of PAH-degradation soil bacteria, soil microbial biomass C and N, enzyme activities, and the physiological profile of the soil microbial community were determined. Average removal percentage of total PAHs in intercropping (30.5%) was significantly higher than in monoculture (19.9%) or unplanted soil (-0.6%). About 7.5% of 3-ring, 12.3% of 4-ring, and 17.2% of 5(+6)-ring PAHs were removed from the soil by alfalfa, with corresponding values of 25.1%, 10.4%, and 30.1% for tall fescue. Intercropping significantly enhanced the remediation efficiency. About 18.9% of 3-ring, 30.9% of 4-ring, and 33.4% of 5(+6)-ring PAHs were removed by the intercropping system. Higher counts of soil culturable PAH-degrading bacteria and elevated microbial biomass and enzyme activities were found after intercropping. Soil from intercropping showed significantly higher (p < 0.05) average well-color development obtained by the BIOLOG Ecoplate assay and Shannon-Weaver index compared with monoculture. Cropping promoted the dissipation of soil PAHs. Tall fescue gave greater removal of soil PAHs than alfalfa, and intercropping was more effective than monoculture. Intercropping of alfalfa and tall fescue may be a promising in situ bioremediation strategy for PAH-contaminated soils.",Plant bioremediation and bioremediation
49,Metal levels in seven species of mollusc and in seaweeds from the Shannon Estuary,"Metal levels (iron, zinc, manganese, cobalt, chromium, copper and nickel) were determined ill Cerastoderma edule, Mytilus edulis, Monodonta lineata, Patella vulgata, Nucelia lapillus, Littorina obtusata and L. littorea at two sires close to the mouth of the Shannon Estuary (Ireland) in November 1993 and May 1994, using standard atomic absorption spectrophotometer techniques. Samples of seaweeds were included at one shore for comparative purposes only. The best all-round indicators for all the metals studied were C. edule, M. edulis and N. lapillus. Metal levels ill the seaweeds were much lower than in the molluscs. No species was a universal indicator of the metals studied when site and season were taken into consideration. High levels of metals accumulated from water and/or sediment were observed in a number of cases. Levels of Zn in N. lapillus were significantly different to those in all other species and C. edule had high levels of Ni. These levels were dependent on site and season. A detrended correspondence ordination showed that the two species of bivalve mollusc and P. vulgata formed one cluster and that the remaining gastropod species formed a second cluster. This study shows that species-specific bioaccumulation occurs and is seasonally specific in certain species. This needs to be taken into account when choosing a bioaccumulator model and when comparing data from different studies.",Bibliography and systematics
50,The Use of Deep Water Berths and the Effect of Noise on Bottlenose Dolphins in the Shannon Estuary cSAC,"The Shannon Estuary on the west coast of Ireland is one of Europe's premier deepwater berths catering for ships up to 200,000 deadweight tonnage. It is also Ireland's only designated candidate special area of conservation for bottlenose dolphins under the EU Habitats Directive. Long-term static acoustic monitoring was carried out at a number of intensive shipping sites. In 2012, noise monitoring took place over a 6-month period (at 1 site) as part of Ireland's requirements under the Marine Strategy Framework Directive (MSFD). This is the first assessment of the potential effect of vessel traffic on the behavior of this discrete dolphin population.","Population, noise, and marine strategy"
